name,details,weight
satay tofu noodle stir fry,HelloFresh book 1,2.0
Chili,Improvise,1.0
Slow cooker chili,https://www.cookingclassy.com/slow-cooker-chili/,1.0
Hot and Sour Eggplant,http://allrecipes.com/recipe/52925/hot-and-sour-chinese-eggplant/,1.0
Wraps,Improvise,1.0
Pasta E Fagioli,HelloFresh book 2,1.0
Sweet Chili Udon Noodles,HelloFresh book 4,1.0
Ratatouille,In an email,1.0
Curried Chickpea Salad,Oh She Glows p. 113,1.0
Fusili Lentil Mushroom Bolognese,Oh She Glows p. 161,1.0
Soba noodle salad,Oh She Glows p.183,1.0
Caprise Pasta Salad,https://cookieandkate.com/2018/caprese-pasta-salad/,1.0
Buddha Bowl,https://cookieandkate.com/2017/buddha-bowl-recipe/,1.0
Breakfast for dinner,improvise,1.0
Mushroom Risotto,https://veganhuggs.com/instant-pot-mushroom-risotto/,1.0
Slow Cooker Vegan Burritos,https://www.noracooks.com/vegan-burritos/,1.0
Sweet Potato Chickpea and Spinach Coconut Curry,Oh She Glows p.179,1.0
Shepard's pie,Oh She Glows p.167,1.0
Crispy Buffalo Tofu Bites Mac and Cheese,Hello Fresh (loose),1.0
Protien Power Rainbow Quinoa Salad,Oh She Glows p. 99,1.0
Creamy Thai Carrot Sweet Potato Soup,Oh She Glows p. 141,1.0
Metabolism revving Spicy Cabbage Soup,Oh She Glows p. 139,1.0
Sweet Potato Casserole,Oh She Glows p. 133,1.0
